Date,Close_AAPL,Close_MSFT,Close_SPY,High_AAPL,High_MSFT,High_SPY,Low_AAPL,Low_MSFT,Low_SPY,Open_AAPL,Open_MSFT,Open_SPY,Volume_AAPL,Volume_MSFT,Volume_SPY,Log_Return_AAPL,Log_Return_MSFT,Log_Return_SPY
2021-05-19,121.54181671142578,233.82681274414065,383.7362365722656,121.76600548369002,233.9326086171046,383.9136956201269,119.75801895076616,229.47959883359417,378.57131179138,120.050447495282,230.1624510972941,380.0563698240923,92612000.0,25739800.0,106467100.0,-0.0012824205684420684,0.0024709318221329776,-0.002625093886480837
2021-05-20,124.09566497802734,237.058349609375,387.8644714355469,124.49531683623646,238.47216034186488,389.1253542262279,121.94146411990351,234.5385032557924,384.4928063797059,122.06818662946591,234.6346866469853,384.6142002311314,76857100.0,21800700.0,78022200.0,0.02079438588458627,0.013725586857849966,0.010700545531333022
2021-05-21,122.2631607055664,235.79844665527344,387.5468444824219,124.7682733974029,238.83766010110827,390.5916376819598,122.04871404578164,235.38489032383157,387.0892020087102,124.59281771546704,238.10671616214,389.34942453489305,79295400.0,21863100.0,76578700.0,-0.014876983322565825,-0.005328911186384883,-0.0008192477060101612
2021-05-24,123.8909683227539,241.19403076171875,391.4976196289063,124.70976380781524,241.5595101055293,392.5716942493205,122.7602599555712,238.04902113207515,389.5455703108136,122.82849229292908,238.3183170668216,389.7884149825735,63092900.0,21411500.0,51376700.0,0.013226114491142632,0.022624315931327195,0.010142704808054062
2021-05-25,123.6960220336914,242.09808349609372,390.6290893554688,125.08017543327662,243.0887108966254,392.9360287923444,123.1306641265909,241.23249158269627,390.0500243839531,124.59279202902988,242.14617519695508,392.5811106477631,72009500.0,17704300.0,57451400.0,-0.0015747703792443643,0.0037412312851454583,-0.0022209460959970776
2021-05-26,123.64727783203124,241.87689208984372,391.404296875,124.17364475386752,243.2714634355035,391.9086272170112,123.22813421483384,241.16517303578055,390.180781318248,123.75450113667011,241.819173240438,391.2174888575059,56575900.0,17771600.0,43088600.0,-0.00039414208767856595,-0.0009140613990746755,0.0019825439350596628
2021-05-27,122.11692810058594,239.7802276611328,391.6097717285156,124.41734339161216,241.8672785618961,392.94536068585694,121.92198067731964,239.72252348400556,391.3295597041095,123.24764397847942,241.56913052971964,392.4316813954646,94625600.0,24426200.0,56707700.0,-0.012453965828899825,-0.008706100609672049,0.0005248305655568572
2021-05-28,121.46382904052734,240.13607788085935,392.3101501464844,122.6237861257757,242.4443476755237,393.4402613734174,121.40534630909178,240.020669527561,392.0766544424052,122.3995899273286,241.405628469254,393.1787473249645,71311100.0,18270200.0,58520200.0,-0.005362497701272018,0.00148296809603065,0.0017868626240432448
2021-06-01,121.14215850830078,237.94320678710935,391.9646301269531,122.1851426884376,241.68451217113508,394.81326667212426,120.81074644955004,237.5200379764385,391.5256570082224,121.92196296159236,241.6268080003857,394.67317493272026,67637100.0,23213300.0,54216600.0,-0.002651795398588329,-0.009173735582861423,-0.0008811198589482098
2021-06-02,121.90249633789062,237.84701538085935,392.5810241699219,122.0779520149326,239.7417137426011,393.4216315915621,120.91800206254752,236.4428170992417,391.609702465234,121.1421908829649,238.645290576334,392.6183914671472,59278900.0,19406700.0,49097100.0,0.006256795159821658,-0.0004043437762224876,0.001571340473104719
