Date,Close_AAPL,Close_MSFT,Close_SPY,High_AAPL,High_MSFT,High_SPY,Low_AAPL,Low_MSFT,Low_SPY,Open_AAPL,Open_MSFT,Open_SPY,Volume_AAPL,Volume_MSFT,Volume_SPY,Log_Return_AAPL,Log_Return_MSFT,Log_Return_SPY,SMA_50_AAPL,SMA_200_AAPL,Rolling_STD_AAPL,BB_Upper_AAPL,BB_Lower_AAPL,Daily_Return_AAPL,Month,Day_Name,Daily_Return_MSFT,Daily_Return_SPY,Rolling_Volatility_AAPL
2021-05-20,124.09566497802734,237.058349609375,387.8644714355469,124.49531683623646,238.47216034186488,389.1253542262279,121.94146411990351,234.5385032557924,384.4928063797059,122.06818662946591,234.6346866469853,384.6142002311314,76857100.0,21800700.0,78022200.0,0.0207943858845862,0.0137255868578499,0.010700545531333,,,,,,0.021012095554447052,5,Thursday,0.013820215172544614,0.010758001121178529,
2021-05-21,122.2631607055664,235.79844665527344,387.5468444824219,124.7682733974029,238.83766010110827,390.5916376819598,122.04871404578164,235.3848903238316,387.0892020087102,124.59281771546704,238.10671616214,389.34942453489305,79295400.0,21863100.0,76578700.0,-0.0148769833225658,-0.0053289111863848,-0.0008192477060101,,,,,,-0.014766867745020784,5,Friday,-0.005314737726714203,-0.0008189122142314709,
2021-05-24,123.8909683227539,241.19403076171875,391.4976196289063,124.70976380781524,241.5595101055293,392.5716942493205,122.7602599555712,238.04902113207515,389.5455703108136,122.82849229292908,238.3183170668216,389.7884149825735,63092900.0,21411500.0,51376700.0,0.0132261144911426,0.0226243159313271,0.010142704808054,,,,,,0.013313966429410184,5,Monday,0.02288218681242382,0.010194316384541269,
2021-05-25,123.6960220336914,242.0980834960937,390.6290893554688,125.08017543327662,243.0887108966254,392.9360287923444,123.1306641265909,241.23249158269627,390.0500243839531,124.59279202902988,242.14617519695508,392.5811106477631,72009500.0,17704300.0,57451400.0,-0.0015747703792443,0.0037412312851454,-0.002220946095997,,,,,,-0.0015735310789938284,5,Tuesday,0.0037482384266303015,-0.0022184816200434554,
2021-05-26,123.64727783203124,241.8768920898437,391.404296875,124.17364475386752,243.2714634355035,391.9086272170112,123.22813421483384,241.16517303578053,390.180781318248,123.75450113667011,241.819173240438,391.2174888575059,56575900.0,17771600.0,43088600.0,-0.0003941420876785,-0.0009140613990746,0.0019825439350596,,,,,,-0.0003940644238897839,5,Wednesday,-0.0009136437722092605,0.001984510474655865,
2021-05-27,122.11692810058594,239.7802276611328,391.6097717285156,124.41734339161216,241.8672785618961,392.94536068585694,121.92198067731964,239.7225234840056,391.3295597041095,123.24764397847942,241.56913052971964,392.4316813954646,94625600.0,24426200.0,56707700.0,-0.0124539658288998,-0.008706100609672,0.0005248305655568,,,,,,-0.01237673613424961,5,Thursday,-0.008668312258337085,0.000524968313215135,
2021-05-28,121.46382904052734,240.13607788085932,392.3101501464844,122.6237861257757,242.4443476755237,393.4402613734174,121.40534630909178,240.020669527561,392.0766544424052,122.3995899273286,241.405628469254,393.1787473249645,71311100.0,18270200.0,58520200.0,-0.005362497701272,0.0014829680960306,0.0017868626240432,,,,,,-0.005348145177060504,5,Friday,0.0014840682369750002,0.0017884600143591722,
2021-06-01,121.14215850830078,237.94320678710932,391.9646301269531,122.1851426884376,241.68451217113508,394.81326667212426,120.81074644955004,237.5200379764385,391.5256570082224,121.92196296159236,241.6268080003857,394.67317493272026,67637100.0,23213300.0,54216600.0,-0.0026517953985883,-0.0091737355828614,-0.0008811198589482,,,,,,-0.0026482824950235795,6,Tuesday,-0.009131785249020252,-0.0008807317868330111,
2021-06-02,121.90249633789062,237.84701538085932,392.5810241699219,122.0779520149326,239.7417137426011,393.4216315915621,120.91800206254752,236.4428170992417,391.609702465234,121.1421908829649,238.645290576334,392.6183914671472,59278900.0,19406700.0,49097100.0,0.0062567951598216,-0.0004043437762224,0.0015713404731047,,,,,,0.006276409789559345,6,Wednesday,-0.0004042620402946451,0.0015725756754356723,
2021-06-03,120.4208526611328,236.3177947998047,391.12396240234375,121.6977752920281,236.92370320657687,392.2634225453712,120.02120080570538,233.7113775070017,388.7983543779824,121.53206925104124,235.84651966073733,390.2647141978336,76229200.0,25307700.0,58138800.0,-0.0122288021111166,-0.0064501871507191,-0.0037183977935042,,,,,,-0.012154334170901615,6,Thursday,-0.006429429348129179,-0.0037114931131960738,
2021-06-04,122.7115478515625,241.2035980224609,394.701171875,122.97473509725997,242.0307252885861,395.0000532381176,120.72305256856428,238.04897651340795,391.1893871156072,120.93749923194184,238.2894203154732,392.9732978416649,75169300.0,25281100.0,55938800.0,0.0188437490699046,0.0204638945924774,0.009104402560322,,,,,,0.0190224129775578,6,Friday,0.020674715701351154,0.00914597369765957,
2021-06-07,122.72126770019533,244.10818481445312,394.3183288574219,123.1306617200527,244.377480722502,394.869375468293,121.67828344764422,240.2610836417249,393.38434575366006,122.98444744531308,240.42458368050268,394.6919163983461,71057600.0,23079200.0,51555000.0,7.920577870605546e-05,0.0119701255001131,-0.0009704273399258,,,,,,7.920891556656429e-05,6,Monday,0.012042054164224103,-0.0009699566275911398,
2021-06-08,123.5400619506836,242.91558837890625,394.40228271484375,125.21664395698274,246.2240976747325,395.27087993776814,123.02344459916289,242.857869534934,392.57168428200526,123.40359727053726,245.4065828203416,395.1774759507784,74403800.0,22455000.0,47134300.0,0.0066498241434385,-0.0048974973499796,0.0002128861766947,,,,,,0.006671983314974872,6,Tuesday,-0.004885524164023325,0.00021290883856495135,
2021-06-09,123.92021942138672,243.8966064453125,393.81390380859375,124.52456834027448,245.76245296444787,395.3176311744139,123.32562010482052,243.531141793228,393.5897570222941,123.99820136642404,244.10819819545324,395.242896577049,56877900.0,17937600.0,48436300.0,0.0030724750465465,0.0040303813454363,-0.0014929381699959,,,,,,0.003077199935797914,6,Wednesday,0.004038514254902648,-0.0014918242921920788,
