Date,AAPL,MSFT,SPY
2021-05-19,,,
2021-05-20,0.0,0.0,0.0
2021-05-21,-0.014766867745020876,-0.005314737726714184,-0.0008189122142315423
2021-05-24,-0.0016495068970353863,0.0,0.0
2021-05-25,-0.0032204424256618105,0.0,-0.0022184816200433713
2021-05-26,-0.00361323778776241,-0.000913643772209189,-0.00023837374540041528
2021-05-27,-0.015945253831322673,-0.009574036281035784,0.0
2021-05-28,-0.021208121476008132,-0.008104176567205055,0.0
2021-06-01,-0.023800238874174436,-0.01716195621619339,-0.000880731786833103
2021-06-02,-0.01767320913687882,-0.01755928032905268,0.0
2021-06-03,-0.02961273721805856,-0.02387581352490229,-0.0037114931131961367
2021-06-04,-0.011153629957258465,-0.0036947234803168965,0.0
2021-06-07,-0.011075304508625478,0.0,-0.0009699566275911781
2021-06-08,-0.004477215440540374,-0.004885524164023241,-0.0007572543013653453
2021-06-09,-0.0014137927918087174,-0.0008667401680996695,-0.0022479489031952573
2021-06-10,-0.009425736131646533,0.0,0.0
2021-06-11,0.0,0.0,0.0
2021-06-14,0.0,0.0,0.0
2021-06-15,-0.006437908165435185,-0.0058871497167894615,-0.0018341942772248303
2021-06-16,-0.002529081801318566,-0.009657897252577657,-0.007407388056484897
2021-06-17,0.0,0.0,-0.0077363935815800205
2021-06-18,-0.01009190962928511,-0.005634498616094188,-0.021122508150032124
2021-06-21,0.0,0.0,-0.007108809011524189
2021-06-22,0.0,0.0,-0.001800848084349484
2021-06-23,-0.0020901240848331996,-0.0009038956966391644,-0.003004077071503405
2021-06-24,-0.004254323784277786,0.0,0.0
2021-06-25,-0.006493533806404744,-0.00626203470945855,0.0
2021-06-28,0.0,0.0,0.0
2021-06-29,0.0,0.0,0.0
2021-06-30,0.0,-0.0018427983785434246,0.0
2021-07-01,0.0,0.0,0.0
2021-07-02,0.0,0.0,0.0
2021-07-06,0.0,0.0,-0.001821537803517276
2021-07-07,0.0,0.0,0.0
2021-07-08,-0.009199567963228137,-0.008966212202962523,-0.008148100283342525
2021-07-09,0.0,-0.0071088355179932654,0.0
2021-07-12,-0.004203641041180801,-0.009323609291190554,0.0
2021-07-13,0.0,0.0,-0.0034090412055773865
2021-07-14,0.0,0.0,-0.001921912085319679
2021-07-15,-0.004491861217252594,-0.005238767531164878,-0.005330804265030991
2021-07-16,-0.018504499260539996,-0.006229621617736147,-0.013132829958729648
2021-07-19,-0.04492092118104948,-0.019468227413480123,-0.027706665532083258
2021-07-20,-0.020113563336471112,-0.011291378715843358,-0.013773343132281145
2021-07-21,-0.025142164080454638,-0.003929047569307711,-0.005788462700577033
2021-07-22,-0.015755729568501815,0.0,-0.003706347808936235
2021-07-23,-0.003955331600387271,0.0,0.0
2021-07-26,-0.0010724295041328973,-0.0021405221401803332,0.0
2021-07-27,-0.015956718264960403,-0.010805140188809808,-0.00455763061399709
2021-07-28,-0.027958314839399326,-0.011909961145048486,-0.004965932049011471
2021-07-29,-0.023533204959456232,-0.010943379733403669,-0.0008389785862180568
2021-07-30,-0.022058168332808596,-0.016432212618115966,-0.005691333567576862
2021-08-02,-0.024337579565022537,-0.016742868203272757,-0.00777729678603468
2021-08-03,-0.01200096684484136,-0.00880307667332574,0.0
2021-08-04,-0.014749736536879542,-0.010908874617280899,-0.004918845109385836
2021-08-05,-0.01401253308835432,-0.0005179053619965684,0.0
2021-08-06,-0.018712624892434054,-0.0007248265186826432,0.0
2021-08-09,-0.0190482707677735,-0.004625876361487088,-0.0008134483054043103
2021-08-10,-0.02233860791345492,-0.011150739050294367,0.0
2021-08-11,-0.020592997469851364,-0.009389992267567851,0.0
2021-08-12,-0.00024716886692447267,0.0,0.0
2021-08-13,0.0,0.0,0.0
2021-08-16,0.0,0.0,0.0
2021-08-17,-0.006154085797258697,-0.005159593139197373,-0.006555155765828757
2021-08-18,-0.031498071359841034,-0.011247081545892145,-0.01742839032978275
2021-08-19,-0.02924822389581681,0.0,-0.015906985630230647
2021-08-20,-0.019388592160431532,0.0,-0.00807663332959048
2021-08-23,-0.009330164598186596,0.0,0.0
2021-08-24,-0.00992593148825551,-0.006663814147124611,0.0
2021-08-25,-0.018263771860171186,-0.008665775566173992,0.0
2021-08-26,-0.023689801556875077,-0.018250719419150244,-0.0059031203969724215
2021-08-27,-0.016675163585072334,-0.016182538796448598,0.0
2021-08-30,0.0,-0.0034795748581589376,0.0
2021-08-31,-0.008424623309223602,-0.00909292581390869,-0.0014817436222728493
2021-09-01,-0.003984008027631277,-0.00925675856894154,-0.0009509085194891242
2021-09-02,0.0,-0.01148887590146977,0.0
2021-09-03,0.0,-0.011521517706723931,-0.0002430445039495212
2021-09-07,0.0,-0.014672699371260338,-0.003817566569724454
2021-09-08,-0.010083828067968181,-0.01457425418152919,-0.005031136214371269
2021-09-09,-0.01672122264445171,-0.024290285029490575,-0.009289804843599583
2021-09-10,-0.04926946463318213,-0.029345502697314584,-0.017101148841618518
2021-09-13,-0.04556795775497929,-0.02514396179619705,-0.014585544802365541
2021-09-14,-0.05469423813459867,-0.015952902656938585,-0.01990349077878964
2021-09-15,-0.04888650541080801,0.0,-0.011717015997028502
2021-09-16,-0.05041834230030521,0.0,-0.013283797864298725
2021-09-17,-0.06784114145190945,-0.017528497608783524,-0.02289526657533712
2021-09-20,-0.0877530259165336,-0.03577761307500663,-0.03918787203613443
2021-09-21,-0.08462580823947898,-0.034139543367965694,-0.04009558792300228
2021-09-22,-0.06918124934286443,-0.02175487724438232,-0.030731691156406858
2021-09-23,-0.06292691374369741,-0.01854400329211867,-0.01895495606334583
2021-09-24,-0.062352624542548994,-0.019232247820325774,-0.01733923472026567
2021-09-27,-0.07224452410209108,-0.03620355062789228,-0.020150415946019237
2021-09-28,-0.09432637782024696,-0.07109639646454204,-0.03989623681302118
2021-09-29,-0.08845500144345422,-0.0695237997406606,-0.03828022801340167
2021-09-30,-0.09694304970409706,-0.07633848930481708,-0.05003475708880415
2021-10-01,-0.08960407862046119,-0.05281438886573318,-0.038745045237395095
2021-10-04,-0.11200474913327935,-0.0724396821063585,-0.051141608493248635
2021-10-05,-0.09943203526217513,-0.05392846718615521,-0.04126876992388225
2021-10-06,-0.09375208861909855,-0.03967652403413647,-0.03728426296897914
2021-10-07,-0.08551931325505778,-0.03397570526906075,-0.028960887010392313
2021-10-08,-0.08800829881313584,-0.03397570526906075,-0.030731691156406858
2021-10-11,-0.08858268776922627,-0.03600671663573087,-0.03774893646470299
2021-10-12,-0.09687920654121095,-0.04042972274215016,-0.040117793940660625
2021-10-13,-0.10070859925507009,-0.029192234592915842,-0.03666414734964747
2021-10-14,-0.08251988165871725,-0.00809260598348415,-0.020460222231213566
2021-10-15,-0.07562731394057368,-0.003309446589350884,-0.013000365716582562
2021-10-18,-0.06471402352979685,0.0,-0.010078298130807042
2021-10-19,-0.05060957252413729,0.0,-0.002441296523853284
2021-10-20,-0.047418611439138766,-0.0026600278137251074,0.0
2021-10-21,-0.04601446087541362,0.0,0.0
2021-10-22,-0.051056374909397705,-0.005148539229382334,-0.0010360687332407192
2021-10-25,-0.05137549096888607,-0.008463191613302673,0.0
2021-10-26,-0.047035652216764645,-0.002091721450575415,0.0
2021-10-27,-0.05003518356804703,0.0,-0.004430244738216709
2021-10-28,-0.02629400614450578,0.0,0.0
2021-10-29,-0.043972277702596145,0.0,0.0
2021-11-01,-0.04933310828618454,-0.006784729335674556,0.0
2021-11-02,-0.042568426403697075,0.0,0.0
2021-11-03,-0.03318667361759138,0.0,0.0
2021-11-04,-0.03656906443630622,0.0,0.0
2021-11-05,-0.033117842707604914,-0.0011295862259761333,0.0
2021-11-08,-0.03848665368655398,0.0,0.0
2021-11-09,-0.036121863031277866,-0.00308606791360549,-0.0033054640332614376
2021-11-10,-0.0545928871135175,-0.018368579208653518,-0.011323980059493513
2021-11-11,-0.0549124021927738,-0.013531502787639012,-0.011003998181184667
2021-11-12,-0.04136278817457101,-0.0008015431279354324,-0.0035398774127406987
2021-11-15,-0.041298745501800835,-0.0027300771329022613,-0.0031987803304327194
2021-11-16,-0.03490734661231269,0.0,0.0
2021-11-17,-0.01899284218389157,0.0,-0.00242913556975568
2021-11-18,0.0,0.0,0.0
2021-11-19,0.0,0.0,-0.001788349191144505
2021-11-22,0.0,-0.009559519681055138,-0.004598316010342054
2021-11-23,0.0,-0.01582571909456868,-0.00327847892179334
2021-11-24,0.0,-0.015155446190767882,-0.0006174490521597976
2021-11-26,-0.03167865733782624,-0.03914200277359388,-0.02290664106748057
2021-11-29,-0.010497644176712893,-0.018885941018932734,-0.010921190583314474
2021-11-30,0.0,-0.03648984115038915,-0.030166194284276724
2021-12-01,-0.0032062609569910223,-0.03797605038904392,-0.04093844791802719
2021-12-02,-0.009316446163246095,-0.03969572650580606,-0.02624904884233477
2021-12-03,-0.020931671054262826,-0.05858175965847137,-0.034722075358640754
2021-12-06,0.0,-0.04931365897325437,-0.023290145073573403
2021-12-07,0.0,-0.02386982314377254,-0.0030869688117042063
2021-12-08,0.0,-0.023724159712719683,-0.0004471564100594839
2021-12-09,-0.002970104613793612,-0.029174146390182,-0.007195693476008365
2021-12-10,0.0,-0.0016612633303691295,0.0
2021-12-13,-0.020674256240889855,-0.01081281484399736,-0.008858356229379779
2021-12-14,-0.028531832175843798,-0.04304755169347325,-0.01567744711840843
2021-12-15,-0.0008361862150347364,-0.0246570137540921,-0.0002973037836406527
2021-12-16,-0.04006700970537892,-0.053073175927151044,-0.00911324715592481
2021-12-17,-0.04630813870810727,-0.05627915341630038,-0.019659083385746047
2021-12-20,-0.054054211550937696,-0.06761666986677825,-0.030083474019883795
2021-12-21,-0.03599888636069315,-0.046107589350372305,-0.012858750703432682
2021-12-22,-0.02123168472561594,-0.02888281952807628,-0.0029886926633341886
2021-12-23,-0.017665151343703743,-0.024540188181305916,0.0
2021-12-27,0.0,-0.0019234759330106024,0.0
2021-12-28,-0.005767270544916801,-0.00542087241799807,-0.0008172681431222367
2021-12-29,-0.005268041675224466,-0.003380663045933703,0.0
2021-12-30,-0.01181176544309723,-0.01104572891970975,-0.0027646394450803664
2021-12-31,-0.015305155810386141,-0.019789312265911074,-0.005277781730005152
2022-01-03,0.0,-0.024365134089591556,0.0
2022-01-04,-0.01269172345344819,-0.04109440869860373,-0.000335010122086655
2022-01-05,-0.03895387695089256,-0.07790487523802736,-0.019530812466250037
2022-01-06,-0.054996896614471436,-0.08519127147130542,-0.020451870212460147
2022-01-07,-0.05406296536848145,-0.08472489051748536,-0.0243243623938642
2022-01-10,-0.05395320207816208,-0.08405470974741697,-0.02553844395213594
2022-01-11,-0.03807482735006211,-0.08198501758095852,-0.016662808892266765
2022-01-12,-0.0356022377304794,-0.07239638364043931,-0.014004398269134449
2022-01-13,-0.05395320207816208,-0.11165511985308695,-0.027589813796132387
2022-01-14,-0.0491181291395982,-0.09591674353691053,-0.02719216280828245
2022-01-18,-0.0670842359505989,-0.11792131926660049,-0.04442022932922508
2022-01-19,-0.08669850716779995,-0.11593943054719702,-0.05434274562566955
2022-01-20,-0.09614852619629537,-0.1209815411909647,-0.06480918779650255
2022-01-21,-0.1076863630602621,-0.13721541272042528,-0.08316763413508646
2022-01-24,-0.11202681517182476,-0.13622451442758968,-0.07927414879866962
2022-01-25,-0.12213601421022971,-0.15919078205691872,-0.09051523838946424
2022-01-26,-0.1226307207898015,-0.13523352400102165,-0.09279692345990447
2022-01-27,-0.12521307369970358,-0.1261110867468575,-0.09727672729986397
2022-01-28,-0.06417225015945668,-0.10157053003062161,-0.07485712126418308
2022-01-31,-0.03972324901397375,-0.09364334368793635,-0.05819431237191594
2022-02-01,-0.04065709450739315,-0.10011361931889577,-0.051830677608930585
2022-02-02,-0.03389910592654847,-0.08641536024105145,-0.04261996470711982
2022-02-03,-0.05005223189072888,-0.12200146160953212,-0.06512327248343135
