Date,Actual Price,Predicted Price
2026-02-09,274.37,267.44
2026-02-10,273.43,267.3
2026-02-11,275.25,267.52
2026-02-12,261.49,267.47
2026-02-13,255.54,267.76
2026-02-17,263.64,267.3
2026-02-18,264.11,266.97
2026-02-19,260.34,266.37
2026-02-20,264.34,266.13
2026-02-23,265.93,264.92
2026-02-24,271.89,263.86
2026-02-25,273.98,263.19
2026-02-26,272.7,262.33
2026-02-27,263.94,261.88
2026-03-02,264.48,260.5
2026-03-03,263.51,259.52
2026-03-04,262.28,259.02
2026-03-05,260.05,258.38
2026-03-06,257.22,258.21
2026-03-09,259.64,257.97
2026-03-10,260.59,257.44
2026-03-11,260.57,257.39
2026-03-12,255.52,257.22
2026-03-13,249.89,257.52
2026-03-16,252.59,258.53
2026-03-17,254.0,258.35
2026-03-18,249.71,258.61
2026-03-19,248.73,258.68
2026-03-20,247.76,259.17
2026-03-23,251.26,260.37
2026-03-24,251.41,260.12
2026-03-25,252.39,260.25
2026-03-26,252.66,260.14
2026-03-27,248.57,260.4
2026-03-30,246.4,260.67
2026-03-31,253.56,260.07
2026-04-01,255.39,259.83
2026-04-02,255.68,259.36
2026-04-06,258.62,258.6
2026-04-07,253.27,257.75
2026-04-08,258.66,257.33
2026-04-09,260.25,256.71
2026-04-10,260.24,256.52
2026-04-13,258.96,255.95
2026-04-14,258.59,255.25
2026-04-15,266.18,255.01
2026-04-16,263.16,254.63
2026-04-17,269.98,254.72
2026-04-20,272.8,255.17
2026-04-21,265.93,254.85
2026-04-22,272.92,254.99
2026-04-23,273.18,255.0
2026-04-24,270.81,255.46
2026-04-27,267.36,256.91
2026-04-28,270.46,256.86
2026-04-29,269.92,257.25
2026-04-30,271.1,257.46
2026-05-01,279.88,258.08
2026-05-04,276.58,259.79
2026-05-05,283.92,259.75
2026-05-06,287.25,260.12
2026-05-07,287.18,260.27
2026-05-08,293.05,260.82
2026-05-11,292.68,262.19
2026-05-12,294.8,262.03
2026-05-13,298.87,262.26
